entity_id,ticker,historical_ticker,cik,company_name,sector,industry,selection_date,market_cap_at_selection,entry_date,exit_date,delisting_date,mapping_source,mapping_available_time_utc
CIK0000789019,MSFT,MSFT,0000789019,Microsoft Corporation,Information Technology,Software,2016-01-01,10,2016-01-01,,,sec_cik_manual_seed,2016-01-01T00:00:00+00:00
CIK0001065280,NFLX,NFLX,0001065280,"Netflix, Inc.",Communication Services,Entertainment,2016-01-01,9,2016-01-01,,,sec_cik_manual_seed,2016-01-01T00:00:00+00:00
CIK0000320187,NKE,NKE,0000320187,"NIKE, Inc.",Consumer Discretionary,Textiles Apparel and Luxury Goods,2016-01-01,8,2016-01-01,,,sec_cik_manual_seed,2016-01-01T00:00:00+00:00
CIK0000063908,MCD,MCD,0000063908,McDonald's Corporation,Consumer Discretionary,Hotels Restaurants and Leisure,2016-01-01,7,2016-01-01,,,sec_cik_manual_seed,2016-01-01T00:00:00+00:00
CIK0001326801,META,FB,0001326801,"Meta Platforms, Inc.",Communication Services,Interactive Media and Services,2016-01-01,6,2016-01-01,,,sec_cik_manual_seed_fb_meta,2016-01-01T00:00:00+00:00
CIK0000829224,SBUX,SBUX,0000829224,Starbucks Corporation,Consumer Discretionary,Hotels Restaurants and Leisure,2016-01-01,5,2016-01-01,,,sec_cik_manual_seed,2016-01-01T00:00:00+00:00
CIK0000019617,JPM,JPM,0000019617,JPMorgan Chase & Co.,Financials,Banks,2016-01-01,4,2016-01-01,,,sec_cik_manual_seed,2016-01-01T00:00:00+00:00
CIK0001403161,V,V,0001403161,Visa Inc.,Financials,Transaction and Payment Processing Services,2016-01-01,3,2016-01-01,,,sec_cik_manual_seed,2016-01-01T00:00:00+00:00
CIK0000034088,XOM,XOM,0000034088,Exxon Mobil Corporation,Energy,Oil Gas and Consumable Fuels,2016-01-01,2,2016-01-01,,,sec_cik_manual_seed,2016-01-01T00:00:00+00:00
CIK0000059478,LLY,LLY,0000059478,Eli Lilly and Company,Health Care,Pharmaceuticals,2016-01-01,1,2016-01-01,,,sec_cik_manual_seed,2016-01-01T00:00:00+00:00
